area,quartos,suite,banheiros,vagas,pet,mobiliado,metro_proximo,Aluguel,Condomínio,IPTU,Seguro incêndio,Taxa de serviço,Total,neighborhood,score,price_per_sqm,rent_level,price_per_room,price_per_bathroom,rent_to_condo_ratio,rooms_per_area,bathrooms_per_area,luxury_score,cluster
24.0,1.0,1,1.0,0.0,0,1,1,3270,280.0,24,42.0,84.0,3700,butanta,154.16666666666666,154.16666666666666,Low,3700.0,3700.0,11.678571428571429,0.041666666666666664,0.041666666666666664,4,0
24.0,1.0,1,1.0,0.0,1,0,0,1691,300.0,34,22.0,43.0,2090,butanta,87.08333333333333,87.08333333333333,Low,2090.0,2090.0,5.636666666666667,0.041666666666666664,0.041666666666666664,2,1
29.0,1.0,0,1.0,0.0,1,1,1,3500,834.0,66,45.0,90.0,4535,butanta,156.3793103448276,156.3793103448276,Low,4535.0,4535.0,4.196642685851319,0.034482758620689655,0.034482758620689655,2,0
29.0,1.0,0,1.0,0.0,1,1,1,3500,834.0,66,45.0,90.0,4535,butanta,156.3793103448276,156.3793103448276,Low,4535.0,4535.0,4.196642685851319,0.034482758620689655,0.034482758620689655,2,0
28.0,1.0,1,1.0,0.0,1,1,1,2800,800.0,0,36.0,72.0,3708,butanta,132.42857142857142,132.42857142857142,Low,3708.0,3708.0,3.5,0.03571428571428571,0.03571428571428571,4,0
24.0,1.0,1,1.0,0.0,0,1,1,3270,280.0,24,42.0,84.0,3700,butanta,154.16666666666666,154.16666666666666,Low,3700.0,3700.0,11.678571428571429,0.041666666666666664,0.041666666666666664,4,0
74.0,2.0,1,2.0,1.0,1,0,1,5335,900.0,0,68.0,138.0,6441,butanta,87.04054054054055,87.04054054054055,Low,3220.5,3220.5,5.927777777777778,0.02702702702702703,0.02702702702702703,3,5
32.0,1.0,0,1.0,0.0,1,0,1,2470,435.0,0,32.0,63.0,3000,butanta,93.75,93.75,Low,3000.0,3000.0,5.67816091954023,0.03125,0.03125,1,1
39.0,2.0,0,1.0,0.0,1,0,1,2900,547.0,0,37.0,75.0,3559,butanta,91.25641025641026,91.25641025641026,Low,1779.5,3559.0,5.301645338208409,0.05128205128205128,0.02564102564102564,1,1
30.0,1.0,1,1.0,0.0,1,1,1,3150,800.0,50,40.0,81.0,4121,butanta,137.36666666666667,137.36666666666667,Low,4121.0,4121.0,3.9375,0.03333333333333333,0.03333333333333333,4,0
